min_ma,region,formation,facies,collection_no,decimalLatitude,decimalLongitude,taxon,abundance,taph.corrected.abundance
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Andiva,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Andiva,14,14
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Aspidella,6,6
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-BOF (245),-31.012,138.228,Aspidella,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Aspidella,21,21
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-LS (50),-31.012,138.228,Aspidella,6,6
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Aspidella,19,19
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-T (279),-31.012,138.228,Aspidella,14,14
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Aspidella,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Aspidella,3,3
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Matt (148),-31.012,138.228,Aspidella,144,144
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-2 (303),-31.012,138.228,Aspidella,300,300
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Aspidella,69,69
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-4 (214),-31.012,138.228,Aspidella,204,204
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-5 (79),-31.012,138.228,Aspidella,49,49
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Phyllo (73),-31.012,138.228,Aspidella,8,8
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Rugo (45),-31.012,138.228,Aspidella,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,sh_surface,46.625556,-53.161389,Aspidella,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,SNG1 (121),-31.012,138.228,Aspidella,5,5
555,Nilpena,Rawnsley Qzite,Rippled.Sand,SNG2 (120),-31.012,138.228,Aspidella,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-AB (202),-31.012,138.228,Aspidella,197,197
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-B (104),-31.012,138.228,Aspidella,78,78
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-F (64),-31.012,138.228,Aspidella,55,55
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-H (143),-31.012,138.228,Aspidella,67,67
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-I (93),-31.012,138.228,Aspidella,17,17
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-J (54),-31.012,138.228,Aspidella,21,21
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-X (41),-31.012,138.228,Aspidella,4,4
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Trib (69),-31.012,138.228,Aspidella,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Aulozoon,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Aulozoon,43,43
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Aulozoon,5,5
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Aulozoon,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Aulozoon,4,4
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-5 (79),-31.012,138.228,Aulozoon,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Phyllo (73),-31.012,138.228,Aulozoon,2,2
