dataset.par,region,min_ma,formation,facies,environment,setting,interval,decimalLatitude,decimalLongitude,LatBin,LongBin,taxon,lifestyle,nektobenthic,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Ambrolinevitus,ESDE,1,,,,,,,,2,2,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Burithes,ESDE,1,6,4,8,,3,19,13,17,13,6
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Xiangguangia,ESHS,1,,1,2,,,1,,2,,4
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Allonina,ESSU,1,,,,,2,2,,2,,3
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Archisaccophyllia,ESSU,1,,,,,,,,10,,4
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Archotuba,ESSU,1,,1,4,1,,3,1,6,2,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Choiaella,ESSU,1,,,1,1,,1,1,,,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Cotyledion,ESSU,1,,,,,,1,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Diandongia,ESSU,1,,1,,,3,68,2,16,1789,4
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Dinomischus,ESSU,1,,,,,,,,,,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Halichondrites,ESSU,1,,,,2,,,,,,4
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Hazelia,ESSU,1,,,11,9,4,1,1,10,3,3
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Heliomedusa,ESSU,1,2,2,6,13,9,157,30,8,39,16
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,IndeteA,ESSU,1,,,,,,,1,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Leptomitella,ESSU,1,,,2,2,,,1,2,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Leptomitus,ESSU,1,,1,2,5,,,1,7,,5
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Longtancunella,ESSU,1,,,,,,,,7,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,N.chancelloriids.A,ESSU,1,,,,,,,,1,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Paraleptomitella,ESSU,1,3,2,2,1,1,,2,1,1,3
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Phlogites,ESSU,1,,,1,,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Saetaspongia,ESSU,1,,3,1,5,,1,1,,4,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Conicula,ESUN,1,,,1,1,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,IndeteF,ESUN,1,,,,,,1,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Ercaicunia,EVDE,1,,4,1,2,11,3,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Malongella,EVDE,1,,,,,,,,,,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Canadaspis,EVHS,1,,,12,,,1,1,8,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Cardiodictyon,EVHS,1,,,,,,4,1,,1,
